"","Category","Type","Organisation","Organisation_type","Country","City","Source"
"363","Divestment","Full","The Overbrook Foundation","Philanthropic Foundation","USA","New York","http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust"
"364","Divestment","Full","Oxford Brookes University","Educational Institution","UK","Oxford","http://blog.peopleandplanet.org/blog/2015/11/10/university-fossil-fuel-divestment-doubles-ahead-of-paris-climate-talks-press-release/"
"365","Divestment","Full","Oxford University","Educational Institution","UK","Oxford","https://gazette.web.ox.ac.uk/files/26march2020-no5272pdf"
"366","Divestment","Full","Pace Foundation","Philanthropic Foundation","Australia","San Antonio","http://www.divestfossilfuels.org.au/#!take-the-pledge/c1t44"
"367","Divestment","Full","Pacific School of Religion","Faith-based Organization","USA","Berkeley","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"368","Divestment","Full","The Palette Fund","Philanthropic Foundation","USA","New York","--"
"369","Divestment","Full","Panahpur","Philanthropic Foundation","UK","--","http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust"
"370","Divestment","Full","Park Foundation, NY","Philanthropic Foundation","USA","Ithaca","http://divestinvest.org/philanthropy/#/signatories/park-foundation-inc"
"371","Divestment","Full","Pax Fund","Philanthropic Foundation","USA","--","http://gofossilfree.org/commitments/"
"372","Divestment","Full","Peralta Community College District","Educational Institution","USA","Oakland","--"
"373","Divestment","Full","Perpetual Ocean Super Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"374","Divestment","Partial","PFA Pension","Pension Fund","Denmark","Copenhagen","http://www.theguardian.com/environment/2015/may/05/members-of-three-danish-pension-funds-vote-to-divest-from-fossil-fuels"
"375","Divestment","Coal Only","Philadelphia Yearly Meeting","Faith-based Organization","USA","Philadelphia","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts
 http://www.pym.org/eco-justice-working-group/symbiosis-and-synergy-tending-a-yearly-meeting-ecosystem/"
