"","Name_of_Organisation","Type","Country","Divestment_Type","More_Info","Policy"
"162","Capuchin Charities","Faith-based Organization","Kenya","Fossil Free","",1
"163","Capítulo Argentina - Movimiento Católico Mundial por el Clima ","Faith-based Organization","Argentina","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"164"," 'https://www.cardiff.gov.uk/ENG/Home/Pages/default.aspx' Cardiff Council Pension Fund","Pension Fund","UK","Full","'https://theecologist.org/2019/jul/22/cardiff-pensions-ditch-fossil-fuels'",1
"165","Cardiff Metropolitan University","Educational Institution","UK","Full","'https://peopleandplanet.org/university/149053#fossil-free-scorecard'",1
"166"," 'https://www.cardiff.ac.uk/' Cardiff University","Educational Institution","UK","Full","'https://www.cardiff.ac.uk/media/media-statements/cardiff-university-to-stop-investing-in-fossil-fuels'",1
"167"," 'http://caritas.asia' Caritas Asia","Faith-based Organization","Thailand","Fossil Free","",1
"168"," 'https://www.caritas.org.au/' Caritas Australia","Faith-based Organization","Australia","Full","'https://www.ncronline.org/news/environment/faith-pledges-push-global-fossil-fuel-divestments-over-11-trillion'",1
"169"," 'http://caritasindia.org' Caritas India","Faith-based Organization","India","Full","'https://docs.google.com/spreadsheets/d/1ftIRg5MMZGCXJyOQd9pYJXJw80IZkutjDFCwaIXP_lo/edit#gid=0'",1
"170"," 'https://www.caritas.org/' Caritas Internationalis","Faith-based Organization","Vatican City","Full","",1
"171"," 'https://www.caritasambrosiana.it/?gclid=Cj0KCQjw_5rtBRDxARIsAJfxvYBQNW0a0ArSw8nvGA6g4yUrGbRyI7t6TlE8I0xOKQbq7sjIFwkowIMaAnVwEALw_wcB' Caritas Italy","Faith-based Organization","Italy","Full","'https://www.ncronline.org/news/environment/faith-pledges-push-global-fossil-fuel-divestments-over-11-trillion'",1
"172"," 'https://www.caritas.no/' Caritas Norway","Faith-based Organization","Norway","Full","'https://www.ncronline.org/news/environment/faith-pledges-push-global-fossil-fuel-divestments-over-11-trillion'",1
"173"," 'https://www.caritas.org/where-caritas-work/asia/philippines/' Caritas Philippines","Faith-based Organization","The Philippines","Full","'https://docs.google.com/document/d/1Prs2wzSrmffgiW4B0E1cx42bvRJtzxjtJJCbxTAySUA/edit'",1
"174"," 'https://caritas-singapore.org/' Caritas Singapore","Faith-based Organization","Singapure","Full","'https://www.ncronline.org/news/environment/faith-pledges-push-global-fossil-fuel-divestments-over-11-trillion'",1
"175","Caroline &amp; Sigmund Schott Fund","Philanthropic Foundation","USA","Full","",1
